eid,eulerLeft,eulerRight,site
sub-NDARRP818DWL,40,39,Site-RU
sub-NDARRT038VG1,139,88,Site-RU
sub-NDARRU729XRU,34,13,Site-RU
sub-NDARRV480PU1,81,55,Site-RU
sub-NDARRV837BZQ,67,23,Site-RU
sub-NDARRV941EAC,45,26,Site-RU
sub-NDARRW100AU0,63,38,Site-RU
sub-NDARRW141HUT,21,30,Site-RU
sub-NDARRW940BL6,32,28,Site-RU
sub-NDARRW951BYF,331,261,Site-RU
sub-NDARRX819BZ0,87,85,Site-RU
sub-NDARRY268AF2,137,138,Site-RU
sub-NDARRY715CY4,538,546,Site-RU
sub-NDARRZ927VC3,49,46,Site-RU
sub-NDARTA819MF0,128,80,Site-RU
sub-NDARTB294NF0,134,139,Site-RU
sub-NDARTB755MF5,31,60,Site-RU
sub-NDARTC652JK4,61,72,Site-RU
sub-NDARTC865YNZ,98,97,Site-RU
sub-NDARTE424BUF,39,39,Site-RU
sub-NDARTE785ZMJ,21,25,Site-RU
sub-NDARTF133LLM,320,283,Site-RU
sub-NDARTG035JK8,105,83,Site-RU
sub-NDARTJ032FJ2,113,96,Site-RU
sub-NDARTK682LJE,270,210,Site-RU
sub-NDARTK691PJJ,326,309,Site-RU
sub-NDARTK834FT9,52,31,Site-RU
sub-NDARTK933KL9,238,224,Site-RU
sub-NDARTK950DY5,211,215,Site-RU
sub-NDARTL336THT,336,307,Site-RU
sub-NDARTN158LRF,371,272,Site-RU
sub-NDARTN173MXV,59,32,Site-RU
sub-NDARTN487KDK,216,272,Site-RU
sub-NDARTP270UAV,32,29,Site-RU
sub-NDARTP313AGH,67,64,Site-RU
